"STCODE","FORMAT","SITECODE","ANNUAL_YEAR","WATERYEAR","MONTH","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","3","GSWS06","2014","2015","10","0.0113","0.177","0.0009","0.2257","0.2602","A","0","31"
"HF004","3","GSWS06","2014","2015","11","0.2499","1.8058","0.0184","4.9974","5.5757","A","0","30"
"HF004","3","GSWS06","2014","2015","12","0.5484","3.2416","0.128","10.9669","12.6434","A","0","31"
"HF004","3","GSWS06","2015","2015","1","0.2742","1.1534","0.1036","5.4831","6.3215","A","0","31"
"HF004","3","GSWS06","2015","2015","2","0.2329","0.694","0.0739","4.657","4.8492","A","0","28"
"HF004","3","GSWS06","2015","2015","3","0.071","0.1395","0.041","1.4194","1.6366","A","0","31"
"HF004","3","GSWS06","2015","2015","4","0.0857","0.1115","0.0553","1.7137","1.9123","A","0","30"
"HF004","3","GSWS06","2015","2015","5","0.0346","0.0553","0.0178","0.6917","0.7951","A","0","31"
"HF004","3","GSWS06","2015","2015","6","0.0132","0.0674","0.007","0.2642","0.2951","A","0","30"
"HF004","3","GSWS06","2015","2015","7","0.0041","0.0159","0.0011","0.0828","0.0955","A","0","31"
"HF004","3","GSWS06","2015","2015","8","0.0007","0.0083","0.0","0.0132","0.0151","A","0","31"
"HF004","3","GSWS06","2015","2015","9","0.0015","0.1184","0.0","0.0292","0.0326","A","0","30"
