"STCODE","FORMAT","SITECODE","ANNUAL_YEARWATERYEAR","MONTH","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWSMA","2015","2015","1","12.3396","84.6478","5.0866","5.4995","6.3328","A","0","31"
"HF004","2","GSWSMA","2015","2015","2","9.7435","31.1556","4.1543","4.3425","4.5199","A","0","28"
"HF004","2","GSWSMA","2015","2015","3","6.2809","16.1869","2.9523","2.7993","3.2276","A","0","31"
"HF004","2","GSWSMA","2015","2015","4","7.1458","10.3063","4.6104","3.1848","3.5531","A","0","30"
"HF004","2","GSWSMA","2015","2015","5","3.3697","5.4986","0.0002","1.5018","1.7239","A","0","31"
"HF004","2","GSWSMA","2015","2015","6","1.6627","2.825","1.112","0.741","0.8268","A","0","30"
"HF004","2","GSWSMA","2015","2015","7","0.9436","1.2423","0.7951","0.4205","0.4851","A","0","31"
"HF004","2","GSWSMA","2015","2015","8","0.7724","29.3818","0.4169","0.3443","0.397","A","0","31"
"HF004","2","GSWSMA","2015","2015","9","0.9072","9.0633","0.6095","0.4043","0.4514","A","0","30"
"HF004","2","GSWSMA","2014","2015","10","2.8577","25.4844","0.6205","1.2736","1.4683","A","0","31"
"HF004","2","GSWSMA","2014","2015","11","23.9357","135.3409","3.2364","10.6677","11.9018","A","0","30"
"HF004","2","GSWSMA","2014","2015","12","26.3845","244.714","5.7238","11.7591","13.5571","A","0","31"
